,toxic,severe_toxic,obscene,threat,insult,identity_hate
precision,0.9337822671156004,0.7222222222222222,0.916030534351145,0.0,0.8118959107806691,0.0
recall,0.5419018671298307,0.027083333333333334,0.5609661082976237,0.0,0.4574780058651026,0.0
fbeta_score,0.6858084901772222,0.05220883534136546,0.6958202464363374,0.0,0.585209003215434,0.0
support,4606.0,480.0,2567.0,155.0,2387.0,415.0
roc_auc,0.9541632946310213,0.985883468439829,0.9796801694886588,0.9524828728756594,0.9714389768200706,0.959351666985402
